K=3;
N=25;
P=[195 564 189];
R=[28 41 25];
A=[3 3 3];
C=[69 60 50];
M=[
  [0 20 39 17 50 18 20 10 50 48 38 10 50 30 31 50 35 47 28 50 50 50 50 43 31]
  [20 0 34 29 39 18 15 13 38 28 34 22 37 26 17 39 18 33 29 50 50 50 50 23 40]
  [39 34 0 50 50 21 20 41 50 45 50 31 50 9 50 50 24 50 50 50 50 50 50 40 50]
  [17 29 50 0 44 34 36 16 49 50 28 26 50 46 31 50 47 45 17 50 50 50 50 50 14]
  [50 39 50 44 0 50 50 40 10 38 18 50 12 50 22 26 50 10 28 18 38 19 18 39 42]
  [18 18 21 34 50 0 4 21 50 41 49 12 50 12 34 50 22 50 42 50 50 50 50 35 48]
  [20 15 20 36 50 4 0 21 50 37 48 15 50 12 32 50 17 48 41 50 50 50 50 31 49]
  [10 13 41 16 40 21 21 0 42 40 29 18 42 33 21 48 31 37 21 50 50 50 50 36 28]
  [50 38 50 49 10 50 50 42 0 30 26 50 2 50 22 17 45 5 35 12 28 25 26 32 49]
  [48 28 45 50 38 41 37 40 30 0 45 49 28 43 26 19 22 28 47 37 25 50 50 6 50]
  [38 34 50 28 18 49 48 29 26 45 0 47 27 50 21 40 50 23 11 36 50 30 23 45 24]
  [10 22 31 26 50 12 15 18 50 49 47 0 50 22 36 50 32 50 37 50 50 50 50 43 40]
  [50 37 50 50 12 50 50 42 2 28 27 50 0 50 22 15 44 6 36 12 26 27 28 31 50]
  [30 26 9 46 50 12 12 33 50 43 50 22 50 0 43 50 21 50 50 50 50 50 50 37 50]
  [31 17 50 31 22 34 32 21 22 26 21 36 22 43 0 28 30 17 21 34 41 41 38 24 36]
  [50 39 50 50 26 50 50 48 17 19 40 50 15 50 28 0 39 18 47 19 13 40 43 24 50]
  [35 18 24 47 50 22 17 31 45 22 50 32 44 21 30 39 0 41 47 50 46 50 50 16 50]
  [47 33 50 45 10 50 48 37 5 28 23 50 6 50 17 18 41 0 30 17 31 28 28 30 45]
  [28 29 50 17 28 42 41 21 35 47 11 37 36 50 21 47 47 30 0 45 50 41 34 45 15]
  [50 50 50 50 18 50 50 50 12 37 36 50 12 50 34 19 50 17 45 0 26 22 27 41 50]
  [50 50 50 50 38 50 50 50 28 25 50 50 26 50 41 13 46 31 50 26 0 48 50 30 50]
  [50 50 50 50 19 50 50 50 25 50 30 50 27 50 41 40 50 28 41 22 48 0 9 50 50]
  [50 50 50 50 18 50 50 50 26 50 23 50 28 50 38 43 50 28 34 27 50 9 0 50 43]
  [43 23 40 50 39 35 31 36 32 6 45 43 31 37 24 24 16 30 45 41 30 50 50 0 50]
  [31 40 50 14 42 48 49 28 49 50 24 40 50 50 36 50 50 45 15 50 50 50 43 50 0]
];
