K=4;
N=40;
P=[525 1435 142 1304];
R=[37 48 19 40];
A=[3 5 2 5];
C=[37 36 46 39];
M=[
  [0 50 50 50 26 50 50 50 50 50 45 50 29 50 30 50 6 50 50 50 50 50 22 50 50 41 42 50 16 44 50 50 50 50 50 2 21 50 50 50]
  [50 0 50 50 27 32 50 13 21 46 23 16 21 29 40 42 50 50 35 50 37 50 50 50 32 40 12 50 36 39 45 25 20 50 50 48 29 13 50 30]
  [50 50 0 49 50 50 15 50 50 50 46 50 50 38 49 50 50 50 50 50 50 27 50 42 50 39 50 13 50 37 42 50 50 38 4 50 50 50 24 38]
  [50 50 49 0 50 42 35 50 50 50 50 50 50 50 50 48 50 11 50 24 50 50 50 8 50 50 50 39 50 50 29 50 50 50 50 50 50 50 50 50]
  [26 27 50 50 0 50 50 40 46 50 34 35 9 44 33 50 30 50 50 50 50 50 40 50 50 41 24 50 11 42 50 50 37 50 50 24 8 39 50 45]
  [50 32 50 42 50 0 46 23 29 36 30 23 48 24 50 22 50 49 33 23 33 50 50 44 24 45 33 38 50 42 14 9 42 50 50 50 50 20 50 23]
  [50 50 15 35 50 46 0 50 50 50 50 50 50 41 50 50 50 45 50 45 50 42 50 27 50 48 50 11 50 45 35 50 50 50 17 50 50 50 38 40]
  [50 13 50 50 40 23 50 0 11 34 28 19 33 30 49 29 50 50 24 43 25 50 50 50 19 46 22 50 49 45 37 14 20 50 50 50 42 6 50 30]
  [50 21 50 50 46 29 50 11 0 26 40 30 41 41 50 27 50 50 14 46 17 50 50 50 14 50 32 50 50 50 43 20 15 50 50 50 50 18 50 41]
  [50 46 50 50 50 36 50 34 26 0 50 50 50 50 50 15 50 50 13 38 10 50 50 50 15 50 50 50 50 50 44 31 39 50 50 50 50 38 50 50]
  [45 23 46 50 34 30 50 28 40 50 0 10 24 11 22 50 44 50 50 50 50 42 40 50 45 18 13 39 37 16 38 30 43 50 49 43 30 22 46 12]
  [50 16 50 50 35 23 50 19 30 50 10 0 26 13 31 41 50 50 42 46 43 50 49 50 36 27 11 42 41 26 33 21 35 50 50 49 34 13 50 13]
  [29 21 50 50 9 48 50 33 41 50 24 26 0 35 27 50 31 50 50 50 50 50 37 50 50 33 15 50 16 34 50 43 35 50 50 27 9 31 50 36]
  [50 29 38 50 44 24 41 30 41 50 11 13 35 0 29 46 50 50 50 43 50 40 47 50 44 21 22 30 48 18 28 26 48 50 41 50 41 24 43 1]
  [30 40 49 50 33 50 50 49 50 50 22 31 27 29 0 50 26 50 50 50 50 32 18 50 50 11 28 48 30 14 50 50 50 45 50 28 26 43 38 30]
  [50 42 50 48 50 22 50 29 27 15 50 41 50 46 50 0 50 50 20 23 18 50 50 50 13 50 49 50 50 50 29 20 42 50 50 50 50 31 50 45]
  [6 50 50 50 30 50 50 50 50 50 44 50 31 50 26 50 0 50 50 50 50 50 16 50 50 38 42 50 19 40 50 50 50 50 50 6 23 50 50 50]
  [50 50 50 11 50 49 45 50 50 50 50 50 50 50 50 50 50 0 50 28 50 50 50 18 50 50 50 50 50 50 37 50 50 50 50 50 50 50 50 50]
  [50 35 50 50 50 33 50 24 14 13 50 42 50 50 50 20 50 50 0 43 3 50 50 50 9 50 45 50 50 50 45 26 26 50 50 50 50 29 50 50]
  [50 50 50 24 50 23 45 43 46 38 50 46 50 43 50 23 50 28 43 0 41 50 50 30 35 50 50 42 50 50 16 29 50 50 50 50 50 42 50 42]
  [50 37 50 50 50 33 50 25 17 10 50 43 50 50 50 18 50 50 3 41 0 50 50 50 8 50 47 50 50 50 44 26 29 50 50 50 50 31 50 50]
  [50 50 27 50 50 50 42 50 50 50 42 50 50 40 32 50 50 50 50 50 50 0 38 50 50 26 50 35 50 26 50 50 50 17 26 50 50 50 6 41]
  [22 50 50 50 40 50 50 50 50 50 40 49 37 47 18 50 16 50 50 50 50 38 0 50 50 28 44 50 32 31 50 50 50 44 50 22 32 50 44 49]
  [50 50 42 8 50 44 27 50 50 50 50 50 50 50 50 50 50 18 50 30 50 50 50 0 50 50 50 33 50 50 30 50 50 50 44 50 50 50 50 50]
  [50 32 50 50 50 24 50 19 14 15 45 36 50 44 50 13 50 50 9 35 8 50 50 50 0 50 41 50 50 50 36 17 29 50 50 50 50 24 50 43]
  [41 40 39 50 41 45 48 46 50 50 18 27 33 21 11 50 38 50 50 50 50 26 28 50 50 0 28 37 39 3 48 46 50 41 40 39 35 40 31 22]
  [42 12 50 50 24 33 50 22 32 50 13 11 15 22 28 49 42 50 45 50 47 50 44 50 41 28 0 50 30 28 44 29 31 50 50 40 23 18 50 23]
  [50 50 13 39 50 38 11 50 50 50 39 42 50 30 48 50 50 50 50 42 50 35 50 33 50 37 50 0 50 34 29 46 50 49 17 50 50 50 33 29]
  [16 36 50 50 11 50 50 49 50 50 37 41 16 48 30 50 19 50 50 50 50 50 32 50 50 39 30 50 0 41 50 50 48 50 50 14 7 47 50 49]
  [44 39 37 50 42 42 45 45 50 50 16 26 34 18 14 50 40 50 50 50 50 26 31 50 50 3 28 34 41 0 45 44 50 42 38 42 36 38 31 19]
  [50 45 42 29 50 14 35 37 43 44 38 33 50 28 50 29 50 37 45 16 44 50 50 30 36 48 44 29 50 45 0 23 50 50 46 50 50 33 50 27]
  [50 25 50 50 50 9 50 14 20 31 30 21 43 26 50 20 50 50 26 29 26 50 50 50 17 46 29 46 50 44 23 0 33 50 50 50 50 13 50 26]
  [50 20 50 50 37 42 50 20 15 39 43 35 35 48 50 42 50 50 26 50 29 50 50 50 29 50 31 50 48 50 50 33 0 50 50 50 43 25 50 48]
  [50 50 38 50 50 50 50 50 50 50 50 50 50 50 45 50 50 50 50 50 50 17 44 50 50 41 50 49 50 42 50 50 50 0 36 50 50 50 16 50]
  [50 50 4 50 50 50 17 50 50 50 49 50 50 41 50 50 50 50 50 50 50 26 50 44 50 40 50 17 50 38 46 50 50 36 0 50 50 50 22 41]
  [2 48 50 50 24 50 50 50 50 50 43 49 27 50 28 50 6 50 50 50 50 50 22 50 50 39 40 50 14 42 50 50 50 50 50 0 19 50 50 50]
  [21 29 50 50 8 50 50 42 50 50 30 34 9 41 26 50 23 50 50 50 50 50 32 50 50 35 23 50 7 36 50 50 43 50 50 19 0 40 50 42]
  [50 13 50 50 39 20 50 6 18 38 22 13 31 24 43 31 50 50 29 42 31 50 50 50 24 40 18 50 47 38 33 13 25 50 50 50 40 0 50 24]
  [50 50 24 50 50 50 38 50 50 50 46 50 50 43 38 50 50 50 50 50 50 6 44 50 50 31 50 33 50 31 50 50 50 16 22 50 50 50 0 43]
  [50 30 38 50 45 23 40 30 41 50 12 13 36 1 30 45 50 50 50 42 50 41 49 50 43 22 23 29 49 19 27 26 48 50 41 50 42 24 43 0]
];
