K=5;
N=80;
P=[176 180 190 163 522];
R=[21 26 26 18 25];
A=[3 3 3 3 5];
C=[46 64 50 42 27];
M=[
  [0 50 50 50 49 42 38 50 50 50 50 49 50 50 50 21 50 50 50 43 46 50 50 50 27 50 17 50 50 50 25 50 34 50 50 25 19 50 50 11 50 50 50 50 50 50 48 50 26 50 50 50 50 50 7 41 35 32 50 50 50 50 35 36 50 50 26 17 50 50 50 50 25 50 50 43 50 50 50 37]
  [50 0 33 37 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 43 50 50 50 50 50 50 50 27 50 25 50 50 50 49 50 50 50 50 37 50 50 50 50 50 50 32 50 50 50 10 14 50 50 50 50 50 50 50 50 8 44 50 50 39 50 50 50 50 50 24 50 50 39 50 50 50 50 50]
  [50 33 0 29 50 50 50 37 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 36 15 50 33 50 50 35 50 50 50 50 50 8 50 50 50 50 50 50 27 50 50 50 26 24 50 50 50 50 50 50 50 50 41 50 50 46 30 50 50 50 50 50 13 50 36 35 50 50 50 50 50]
  [50 37 29 0 50 50 45 28 50 50 50 50 50 50 44 50 50 50 35 50 50 50 50 50 50 43 50 35 32 39 50 15 50 50 47 44 45 44 50 50 23 50 50 50 50 50 50 4 35 50 50 26 23 50 50 50 50 50 50 50 50 42 49 50 41 2 50 50 50 50 50 20 50 38 7 50 50 50 50 50]
  [49 50 50 50 0 50 50 50 6 50 19 50 50 50 50 50 50 50 50 50 48 50 50 50 50 50 50 50 50 50 47 50 17 50 50 50 50 50 50 38 50 50 50 28 50 22 29 50 50 48 50 50 50 50 45 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 40 50 50 8 50 34 36 14]
  [42 50 50 50 50 0 50 50 50 50 50 8 50 50 50 21 50 50 50 7 50 13 50 50 47 50 26 50 50 50 48 50 50 50 50 27 33 50 50 50 50 25 50 50 50 50 50 50 47 50 24 50 50 50 48 21 38 49 50 27 50 49 17 49 50 50 17 25 50 50 50 50 50 50 50 50 50 50 50 50]
  [38 50 50 45 50 50 0 50 50 50 50 50 36 50 35 50 50 50 43 50 13 50 50 50 50 14 50 37 50 50 50 50 48 50 50 44 38 49 50 35 50 50 49 50 50 39 30 48 25 47 50 50 50 50 32 50 50 50 47 50 50 50 50 50 50 44 50 49 33 50 50 50 50 50 40 46 50 50 50 41]
  [50 50 37 28 50 50 50 0 50 50 50 50 38 38 28 50 41 50 14 50 50 50 28 33 50 42 50 19 7 50 50 43 50 50 27 50 50 20 24 50 29 50 50 50 50 50 50 32 50 50 50 50 47 50 50 50 50 50 49 50 50 50 50 50 13 27 50 50 40 43 50 38 50 15 32 50 50 50 50 50]
  [50 50 50 50 6 50 50 50 0 50 14 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 21 50 50 50 50 50 50 43 50 50 50 28 50 24 33 50 50 49 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 44 50 50 13 50 34 32 19]
  [50 50 50 50 50 50 50 50 50 0 50 50 31 29 40 50 22 17 50 50 50 50 41 30 50 50 50 48 50 50 50 50 50 50 50 50 50 43 46 50 50 50 45 50 15 50 50 50 50 48 50 50 50 18 50 50 50 50 17 50 50 50 50 50 50 50 50 50 32 28 28 50 50 50 50 50 16 50 50 50]
  [50 50 50 50 19 50 50 50 14 50 0 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 30 50 50 50 50 50 50 50 50 50 50 22 50 38 47 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 50 47 50 50 26 50 45 17 32]
  [49 50 50 50 50 8 50 50 50 50 50 0 50 50 50 28 50 50 50 7 50 14 50 50 50 50 33 50 50 50 50 50 50 50 50 35 41 50 50 50 50 18 50 50 50 50 50 50 50 50 20 50 50 50 50 21 41 50 50 19 50 50 24 50 50 50 23 32 50 50 50 50 50 50 50 50 50 50 50 50]
  [50 50 50 50 50 50 36 38 50 31 50 50 0 27 11 50 14 43 24 50 33 50 30 16 50 22 50 20 43 50 50 50 50 50 50 50 50 23 32 50 50 50 46 50 42 50 50 50 50 46 50 50 50 47 50 50 50 50 14 50 50 50 50 50 37 50 50 50 3 31 36 50 50 49 50 50 40 50 50 50]
